"# Aswath Damodaran, NYU Stern. Data updated 2026-01-05. US companies."
# Extracted from damodaran-working-capital-2026-01.xls by reference/extract.py. Do not hand-edit.
industry,firms,ar_over_sales,inventory_over_sales,ap_over_sales,noncash_wc_over_sales,implied_dso_days,implied_dio_days,implied_dpo_days
Advertising,52,0.473771,0.055700,0.461163,0.038339,172.9,20.3,168.3
Aerospace/Defense,79,0.239324,0.289406,0.111219,0.412102,87.4,105.6,40.6
Air Transport,23,0.039965,0.030556,0.066439,0.004517,14.6,11.2,24.3
Apparel,35,0.125303,0.192488,0.092356,0.243794,45.7,70.3,33.7
Auto & Truck,33,0.062959,0.099145,0.139540,-0.029612,23.0,36.2,50.9
Auto Parts,35,0.170549,0.124676,0.138251,0.158549,62.3,45.5,50.5
Bank (Money Center),15,0.000000,0.001686,,,0.0,0.6,
Banks (Regional),568,0.000000,0.008225,,,0.0,3.0,
Beverage (Alcoholic),14,0.100416,0.197511,0.177602,0.146400,36.7,72.1,64.8
Beverage (Soft),27,0.118840,0.080550,0.259598,-0.060033,43.4,29.4,94.8
Broadcasting,24,0.197088,0.024891,0.033849,0.104552,71.9,9.1,12.4
Brokerage & Investment Banking,32,1.401392,0.002757,,,511.5,1.0,
Building Materials,41,0.137758,0.136438,0.094117,0.184358,50.3,49.8,34.4
Business & Consumer Services,155,0.184311,0.013887,0.066896,0.145190,67.3,5.1,24.4
Cable TV,9,0.086095,0.001888,0.069556,0.018977,31.4,0.7,25.4
Chemical (Basic),29,0.111532,0.156545,0.110918,0.162058,40.7,57.1,40.5
Chemical (Diversified),4,0.133700,0.199660,0.146109,0.166937,48.8,72.9,53.3
Chemical (Specialty),59,0.182790,0.175783,0.133410,0.237965,66.7,64.2,48.7
Coal & Related Energy,16,0.082103,0.171176,0.139000,0.101762,30.0,62.5,50.7
Computer Services,64,0.213004,0.081216,0.172675,0.134002,77.7,29.6,63.0
Computers/Peripherals,36,0.106816,0.059151,0.187754,-0.047057,39.0,21.6,68.5
Construction Supplies,40,0.148348,0.209492,0.119168,0.225585,54.1,76.5,43.5
Diversified,20,0.122072,0.089829,0.150017,0.007736,44.6,32.8,54.8
Drugs (Biotechnology),496,0.213688,0.120040,0.197227,0.133615,78.0,43.8,72.0
Drugs (Pharmaceutical),228,0.217980,0.156086,0.084969,0.320885,79.6,57.0,31.0
Education,32,0.121151,0.016861,0.040412,0.100311,44.2,6.2,14.8
Electrical Equipment,112,0.258290,0.202461,0.143960,0.294372,94.3,73.9,52.5
Electronics (Consumer & Office),8,0.092722,0.136293,0.133631,0.111556,33.8,49.7,48.8
Electronics (General),114,0.191262,0.180928,0.162656,0.209177,69.8,66.0,59.4
Engineering/Construction,48,0.275186,0.015445,0.098701,0.193766,100.4,5.6,36.0
Entertainment,92,0.099130,0.017540,0.086361,0.004905,36.2,6.4,31.5
Environmental & Waste Services,53,0.155952,0.017382,0.069832,0.100387,56.9,6.3,25.5
Farming/Agriculture,35,0.081070,0.166596,0.071352,0.172734,29.6,60.8,26.0
Financial Svcs. (Non-bank & Insurance),176,13.322214,0.003618,1.700832,11.859986,4862.6,1.3,620.8
Food Processing,78,0.077639,0.134054,0.121438,0.066773,28.3,48.9,44.3
Food Wholesalers,13,0.055992,0.066181,0.067559,0.056230,20.4,24.2,24.7
Furn/Home Furnishings,27,0.133918,0.182947,0.138467,0.157303,48.9,66.8,50.5
Green & Renewable Energy,15,0.594789,0.025893,0.350519,-1.142911,217.1,9.5,127.9
Healthcare Products,204,0.165096,0.175940,0.071430,0.256526,60.3,64.2,26.1
Healthcare Support Services,104,0.069483,0.034493,0.141052,-0.057878,25.4,12.6,51.5
Heathcare Information and Technology,115,0.198187,0.104663,0.078642,0.235276,72.3,38.2,28.7
Homebuilding,30,0.019648,0.620218,0.045521,0.616464,7.2,226.4,16.6
Hospitals/Healthcare Facilities,31,0.142192,0.017147,0.063883,0.104835,51.9,6.3,23.3
Hotel/Gaming,63,0.103564,0.026212,0.074856,0.007663,37.8,9.6,27.3
Household Products,110,0.097484,0.115501,0.148609,0.060061,35.6,42.2,54.2
